D,p,dKthr,A
3.6415335e-09,1.2305548,7.055991,74.341194
1.5126939e-09,1.1743212,7.1359944,75.92247
1.9381612e-09,1.2306762,7.119287,75.45603
1.1146986e-09,1.1782876,7.659325,75.12206
1.7517252e-09,1.1908923,7.7881002,73.066864
2.2153552e-09,1.1649071,6.6631427,73.58287
1.1707465e-09,1.2447324,5.811864,72.89122
1.4919415e-09,1.2617986,7.2125382,73.84227
1.5435316e-09,1.162598,7.8402643,74.436516
1.5932332e-09,1.2281924,6.4747777,73.45875
1.5139849e-09,1.1773479,7.4024935,71.03854
1.6216923e-09,1.2057524,8.34488,71.469604
1.9986928e-09,1.2374122,7.357128,73.67665
2.249466e-09,1.2399677,7.3082633,75.9664
1.9211932e-09,1.1275458,7.1288238,69.76315
5.1139932e-09,1.1705118,7.8893523,72.04142
2.9425138e-09,1.2664902,7.3225884,70.7932
1.9558954e-09,1.1623365,7.192548,78.04634
1.5190008e-09,1.143495,6.9043765,75.15349
5.172648e-09,1.228511,7.3019795,77.59852
2.760223e-09,1.1852902,7.1710916,73.528275
3.1037972e-09,1.1916443,6.6934867,68.82783
2.4084839e-09,1.2130352,7.1521454,71.6935
1.9004254e-09,1.2321115,6.188404,71.67718
2.003026e-09,1.212176,7.0237055,74.32504
1.2776284e-09,1.1521403,7.5007205,72.00001
3.198183e-09,1.1413145,8.592287,74.19506
3.002064e-09,1.1413448,7.767817,74.12828
3.2308396e-09,1.1957079,6.808282,77.17183
2.2677404e-09,1.2222403,7.560154,77.13971
2.17273e-09,1.1621878,7.1366367,73.14522
1.311042e-09,1.1397249,7.6085405,77.19508
2.4653561e-09,1.0579982,7.358644,74.00642
1.8309284e-09,1.2018824,8.002996,76.59567
1.296932e-09,1.2133889,7.4462237,74.49189
3.1962828e-09,1.180028,6.9931827,72.4305
3.1940837e-09,1.2038935,6.036827,72.52566
2.3281856e-09,1.2580268,8.130933,72.3394
2.144766e-09,1.176408,7.2818375,72.80027
3.1958234e-09,1.1700761,6.8246183,73.933075
2.1442343e-09,1.1520358,7.567519,70.93861
1.2305409e-09,1.2623628,7.6165504,72.917946
2.234443e-09,1.2358793,7.252743,72.13879
4.0602974e-09,1.1758887,6.291012,78.815674
1.5173965e-09,1.2443129,7.459397,72.35744
2.9799685e-09,1.183787,7.462692,72.297905
2.0376048e-09,1.1422951,6.892192,76.01767
1.9459032e-09,1.1554313,6.832927,72.48798
2.322906e-09,1.3131952,6.9480414,75.43394
2.6052545e-09,1.1917993,8.09496,77.39789
1.9156041e-09,1.208535,8.303208,74.30006
1.9803332e-09,1.2617197,7.6928053,75.16459
2.8058793e-09,1.2395307,7.2775736,72.289185
1.445193e-09,1.1456726,7.8970923,74.06961
1.6345169e-09,1.2214538,6.574832,73.32181
3.1616523e-09,1.2238624,6.9285874,75.417015
1.8524581e-09,1.1740396,7.2506433,72.24694
1.2161849e-09,1.192795,8.255768,72.14965
1.7841456e-09,1.1669039,6.8125663,73.24002
